City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
533,kachiry,53.0675,76.1036,-19.43,88,13,3.6,KZ,1669906318
534,batagay,67.6333,134.6333,-30.48,98,100,1.42,RU,1669906319
535,paka,4.6374,103.4368,24.96,94,100,1.54,MY,1669906319
536,arlit,18.7369,7.3853,28.95,11,100,2.24,NE,1669906320
537,mahon,39.8885,4.2658,13.31,67,20,3.09,ES,1669906320
538,sussex,41.1834,-74.6663,3.1,53,65,4.02,US,1669906321
539,huayang,34.4155,109.9939,-7.73,47,82,1.14,CN,1669906322
540,guerrero negro,27.9769,-114.0611,14.34,79,72,3.71,MX,1669906256
541,amapa,1.0,-52.0,32.27,49,49,1.75,BR,1669906322
542,almeirim,-1.5233,-52.5817,31.9,54,78,2.08,BR,1669906323
543,aketi,2.7388,23.7833,27.64,68,78,0.97,CD,1669906323
544,kinablangan,7.6947,126.5503,24.92,88,100,1.02,PH,1669906324
545,lakatoro,-16.0999,167.4164,27.06,84,89,4.1,VU,1669906325
546,vityazevo,44.9931,37.2719,7.23,70,0,9.0,RU,1669906325
547,udachnyy,66.4167,112.4,-26.42,75,99,6.38,RU,1669906326
548,finnsnes,69.2296,17.9811,-0.66,99,100,0.91,NO,1669906326
549,springbok,-29.6643,17.8865,26.49,27,0,8.52,ZA,1669906327
550,ormara,25.2088,64.6357,25.18,50,30,3.43,PK,1669906328
551,coxim,-18.5067,-54.76,36.68,28,77,3.97,BR,1669906328
552,ancud,-41.8697,-73.8203,11.44,59,69,2.64,CL,1669906329
553,sorland,67.667,12.6934,4.92,73,21,2.93,NO,1669906330
554,kiunga,-6.1219,141.2906,22.79,99,100,1.7,PG,1669906330
555,pandrup,57.2215,9.6757,3.95,87,100,2.57,DK,1669906331
556,ta khmau,11.4833,104.95,30.03,66,20,1.03,KH,1669906332
557,along,28.1667,94.7667,14.74,66,0,0.93,IN,1669906333
558,ixtapa,20.7,-105.2,22.9,79,9,0.45,MX,1669906086
559,trat,12.5,102.5,24.4,81,95,1.72,TH,1669906334
560,cururupu,-1.8283,-44.8683,30.48,61,45,3.35,BR,1669906335
561,pontal do parana,-25.6533,-48.5128,29.99,71,11,3.33,BR,1669906335
562,harper,4.375,-7.7169,28.18,69,100,3.29,LR,1669906336
563,puerto escondido,15.85,-97.0667,27.02,63,9,1.29,MX,1669906337
564,batemans bay,-35.7167,150.1833,16.17,94,100,2.62,AU,1669906337
565,moerai,-22.4333,-151.3333,24.15,83,3,4.79,PF,1669906338
566,oum hadjer,13.2954,19.6966,34.29,15,98,3.06,TD,1669906338
567,ayan,56.45,138.1667,-19.16,70,89,7.45,RU,1669906339
568,puerto del rosario,28.5004,-13.8627,22.86,53,40,4.63,ES,1669906339
569,moose factory,51.2585,-80.6094,-5.0,79,100,9.77,CA,1669906340
570,birjand,32.8663,59.2211,14.26,15,20,4.12,IR,1669906341
571,ust-karsk,52.7011,118.8077,-25.65,98,100,0.65,RU,1669906341
572,marawi,7.9986,124.2928,20.88,92,92,0.69,PH,1669906342
573,xingtai,37.0631,114.4942,-3.03,28,31,2.81,CN,1669906343
574,ambilobe,-13.2,49.05,25.94,77,87,1.98,MG,1669906343
575,filadelfia,39.9523,-75.1638,4.4,46,20,8.75,US,1669906203
576,chongqing,29.5628,106.5528,7.35,96,100,1.0,CN,1669906344
577,sibolga,1.7427,98.7792,24.42,92,100,1.29,ID,1669906346
578,juneau,58.3019,-134.4197,-5.99,94,100,3.6,US,1669906337
579,aksu,41.1231,80.2644,-5.64,22,100,1.11,CN,1669906347
580,ilhabela,-23.7781,-45.3581,27.95,71,3,2.9,BR,1669906347
581,matay,28.419,30.7792,21.12,32,0,3.76,EG,1669906348
582,bintulu,3.1667,113.0333,25.23,100,40,1.54,MY,1669906348
583,teguldet,57.3064,88.1667,-17.83,98,97,1.39,RU,1669906349
